Company Name,Company Domain,Industry,Type,Parent Company,Description,City,Country,Number of Employees,Annual Revenue,Phone,LinkedIn URL,Products,Regions
COEX Partners,tpicap.com/coexpartners,Financial Services,Agency Broker,TP ICAP,"Multi-asset agency execution broker; Cleared IRS, Government Bonds, FX, Equity Derivatives",London,United Kingdom,127,,,linkedin.com/company/coex-partners-llp,"Cleared IRS, Government Bonds, FX, Equity Derivatives, Relative Value","Global - London, Paris, New York, Singapore"
DeepWell Liquidity Management,deep-well.com,Financial Services,Agency Broker,Tradition (CFT),"Agency execution for FX, Rates, Credit; serves hedge funds, asset managers, private banks",London,United Kingdom,50-100,,,,"FX, Rates, Credit, OTC & Listed Products","Global - London, New York, Singapore, Sydney"
Liquidnet,liquidnet.com,Financial Services,Agency Broker / Dark Pool,TP ICAP,Global institutional investment network; block trading and liquidity solutions for equities and fixed income,New York,United States,449,$75M,+1-646-674-2000,linkedin.com/company/liquidnet,"Equities Block Trading, Fixed Income, Listed Derivatives",Global (46 markets)
BGC Group,bgcg.com,Financial Services,IDB / Agency,,Leading global brokerage and financial technology company,New York,United States,4000+,$2.26B,,linkedin.com/company/bgc-partners,"Rates, FX, Credit, Commodities, Agency Execution",Global
TP ICAP Group,tpicap.com,Financial Services,IDB / Agency Parent,,World's largest interdealer broker,London,United Kingdom,5000+,~£2.1B,,linkedin.com/company/tp-icap,"Rates, FX, Credit, Commodities, Equities",Global
Quantitative Brokers,quantitativebrokers.com,Financial Services,Algo Execution,Deutsche Börse Group,"Research-driven algorithmic execution for futures, options, and fixed income",New York,United States,70+,,,linkedin.com/company/quantitative-brokers,"Futures Algos, Options, US Cash Treasury, OTC Fixed Income","Global - New York, London, Sydney, Chennai"
Instinet,instinet.com,Financial Services,Agency Broker,Nomura,Global institutional agency-model equities broker; oldest electronic trading firm,New York,United States,500+,,,linkedin.com/company/instinet,"Global Equities, ETFs, Algos, Dark Pools",Global (46 countries)
Marex Group,marex.com,Financial Services,FCM / Agency,,Global commodities and financial services company,London,United Kingdom,2300+,$750M+,,linkedin.com/company/marex,"Commodities, Derivatives, FX, Rates Solutions",Global - 40+ offices
StoneX Group (incl. R.J. O'Brien),stonex.com,Financial Services,FCM / Agency / Market Making,,Fortune 100 financial services company; LARGEST NON-BANK FCM IN US after R.J. O'Brien acquisition (July 2025). Combined 200+ years derivatives expertise.,New York,United States,5500+,$2.9B+ (combined),+1-212-403-7296,linkedin.com/company/stonex-group,"Commodities, FX, Rates, Securities, Clearing, Futures, Fixed Income","Global - 70+ offices, 6 continents"
Kepler Cheuvreux,keplercheuvreux.com,Financial Services,Agency Broker,,Largest independent European equity brokerage,Paris,France,500+,,,linkedin.com/company/kepler-cheuvreux,"Equities, Fixed Income, Derivatives, ETFs, Convertible Bonds","Europe, Americas, Asia"
Tradition (CFT),tradition.com,Financial Services,IDB,,Global interdealer broker; Swiss-listed,Lausanne,Switzerland,2000+,CHF 1.1B+,,,"Rates, FX, Credit, Energy, Commodities",Global
Liquidez DTVM,,Financial Services,IDB (BGC),BGC Group,Leading Brazilian interdealer broker,São Paulo,Brazil,,,,,"BRL Rates, Bonds, Derivatives",Brazil / LATAM
Remate Lince,remate.com,Financial Services,IDB (BGC),BGC Group,Premier Mexican interdealer broker; acquired by BGC 2017,Mexico City,Mexico,,,,,"MXN Bonds, IRS, FX Forwards, Repos",Mexico / LATAM
